id,product_id,username,age_range,skin_type,rating,text,is_recommended,price
1297294,42201,agirlllll,18 and Under,Combination,2.0,"Karena cocok sama krimnya jadi berharap fwnya juga cocok di wajah aku. Hmm nyatanya malah gk cocok. Komedo aku jadi timbul banyak bgt, tekstur wajahku jadi lumayan kasar, dan lama kelamaan bikin kusam.",-1,12500.0
1661314,3895,hnnymtra,18 and Under,Combination,2.0,dengan claim nya yang mampu menyembuhkan jerawat aku jujur agak kecewa. karena sabun ini tidak membantu mengurangi jerawat. dengan keadaan wajah ku waktu itu yang jerawatan lumayan parah ini sama sekali gak ngefek. jadi agak nyesel. untuk tekstur nya aku suka sama seperti facial wash pada umumnya. dan baunya tidak terlalu menyengat.,-1,29000.0
1952835,2462,azkiasalwa,18 and Under,Combination,2.0,"aku heran kok masih ada aja facewash dgn physical exsfoliating , pada prinsip nya kan cuci muka digunakan sehari2x. jujur aja aku pake ini baru seminggu langsung ada jrwt merah gede gede di jidat , dipakai seminggu 1-2x masih oke. tapi karna ada srcub nya di aku gabisa pake tiap hari",-1,18000.0
1512349,3502,ptrdwita,18 and Under,Combination,1.0,"skincare ter worst yg pernah aku coba sii. awalnya juga jerawatan gara gara pake yang satunya, niatnya mau bersihin jerawat pake ini. eh malah makin banyak. sampe sekarang masih struggle gimana cara nyembuhinnya",-1,15000.0
1872288,11125,babysoo,18 and Under,Combination,4.0,"aku pake ini pas breakout, buat nyembuhin jerawat,bruntusan, itu bagus banget. tapi kulit aku tu ga berminyak gitu, pas make ini aku ngerasa kok kulit aku jadi berminyak awalnya dijidat doang eh lama"" keseluruh muka aku udh gitu gaenal gitu, sedih pdhl ini bagus banget buat nyembuhin jerawat aku :(",-1,22000.0
1934415,15106,pizzachu,18 and Under,Combination,1.0,"coba ini karena direkomendasiin temenku waktu smp dulu, dan big no di aku, ini awal mula yang bikin kulit aku first time jerawatan parahh banget, bruntusan dimana-mana dan banyak jerawat bandel berbulan bulan ngga hilang dan terus bermunculan, bener-bener sedih, bekas jerawatnya baru ilang 2 tahunan😭 sehabis ini pakai cetaphil dan alhamdulillah bisa calming dan berangsur-angsur membaik",-1,15000.0
2432997,87904,Dewifi,18 and Under,Combination,3.0,"Beli ini karena keracunan tik*tok, rasanya di muka ga ketarik, ga bikin gatel, ga bikin perih juga, dan ga bikin kulit ngelupas. Aromanya yang aku kurang suka sih. Menurutku kurang membersihkan juga, kurang ngangkat minyak berlebih di muka aku. Gada efek apa apa di aku.",-1,88000.0
1868560,2786,veens,18 and Under,Combination,2.0,"sebenernya saya beli hadalabo awalnya buat mengganti fw pertama saya, karena fw pertama saya yang cocok buat saya but kurang gentle aja jadi saya mau ganti ke hadalabo, teman² saya pakai cocok² aja sih tp pas saya pakai awalnya ga kenapa² tapi kok lama lama keluar beruntusan terutama di dahi paling banyak, akhirnya saya stop pemakaiannya deh takut kenapa-kenapa... btw skin type saya kombi to oily yaa",-1,30000.0
1179107,33379,angeliqu3,18 and Under,Combination,2.0,"aku kira bakal bagus, tapi aku gasukaaa ); setelah pake kulit jadi keset banget dan itu ga bagus buat kulit wajah, jadi ketarik gitu abis cuci muka. Mau ganti yang lain, tapi sayang orang rumah gaada yang mau pake. ga recommended",-1,34900.0
1998761,54416,naurarrh,18 and Under,Combination,2.0,"ga cocok di aku..tekstur fw ini gel gt dia gabikin kulit kita kering setelah dibilas.. tapi krn teksturnya gel itu jadi kadang agak susah dibersihinya trs aku ngerasa muka aku gabersih aja.. wkwkw.. setelah fw ini dibilas dia buat muka aku yg bagian kemerahanya tu makin memerah.. aku gatau itu baik atau buruk.. tp yg pasti dia buat kulit aku beruntusan, aku gatau si itu krn fw nya atau bukan.. soalnya aku lagi make exfo toner juga.. tp aku mutusin buat ga repurchase 🙂",-1,94000.0
1220906,22096,rachmaadtc,18 and Under,Combination,4.0,teksturnya creamy sekali warnanya putih dan wanginya wah bener bener jeruk sih ini wkwkwk. ini tipe facial wash yg banyak busa nya jadi bagi kulit sensitif agak bahaya ya. walaupun kulitku kombinasi tp dibagian berminyak pun ini berasa keset bgt dan agak sedikiiit ketarik. ,-1,19500.0
1358295,9710,jihansm,18 and Under,Combination,3.0,"Teksturnya gel bening gitu, baunya enak sih, wangi tea tree. Cuma sayangnya ngaruhnya lama banget di aku,dan ngerasa mukaku ga terlalu bersih pake ini. Jerawatku juga ga ada perubahan yang signifikan setelah pemakaian 3 mingguan. Harganya affordable banget tapi.",-1,16000.0
1431923,18042,Aldiaaa,18 and Under,Combination,2.0,"Aku coba ini gara2 masih penasaran, kmren gak cocok sama si oren. Tapi, hasilnya juga sama. Kulit di lipatan hidung dan smile-line perih gitu. Emang gak bikin ketarik, tapi habis tuh kulit di lipatan hidung itu terkelupas. Parah banget. Sukur aja aku beli yg kecil jdi gak mubazir banget.",-1,21000.0
1620846,743,DeaPremiera,18 and Under,Combination,3.0,"pake ini waktu sd sekitar kelas 5/6, berarti hampir 6-7tahun lalu. wanginya enak, busanya lembut banget, ga bikin ketarik/kering setelah cuci muka. buat ngilangin jerawat ga terlalu ngaruh. harganya murah, gampang dicari dimana mana.",-1,17000.0
1351865,16599,pineapleees,18 and Under,Combination,1.0,"Claimnya kan menahan minyak dan jerawat. Aku percaya karna kandungan matcha nya. Tp sayang bgtt diaku gacocok. Hari pertama aku pake, muka aku yg awalnya mulus dan baik baik aja. Jadi muncul jerawat dijidat mana gede banget:(( untung aku pake yg sachet jd garugi rugi bgtt",-1,23900.0
1766579,45469,GhaliyaIntishar,18 and Under,Combination,3.0,"aku pertama kali pake ini muka aku langsung ketarik gitu, rasanya aneh gitu. klaim mencerahkan menurut aku lumayan cukup mencerahkan. Aku saranin untuk kulit oily,kombinasi sih. Repurchase? gk deh kayaknya bikin kulit kering huhuhu",-1,28500.0
2061780,777,grace_ida,18 and Under,Combination,2.0,Pertama kali pake gak ngaruh apa apa buat kulit gak buat makin buruk juga gak makin bagus. mungkin karena kulit aku bukan jerawatan tapi brutusan mungkin karna itu gak cocok. kalo dipake juga kerasa panas-panas gitu dibeberapa area muka. itu aja kali,-1,27000.0
487795,66519,ghinaaf,18 and Under,Combination,4.0,Coba ini karena tertarik sama bahan charcoalnya. Warna sabunnya agak abu-abu gelap dan foamnya ga terlalu banyak. Pas dipake dia lembut banget dan abis dibilas muka rasanya bersih banget dan ga ketarik samsek. Ga bikin jerawatan dan ga bikin jerawat sama komedo muncul tiba-tiba.,0,0.0
760267,29993,naybee,18 and Under,Combination,5.0,"SUKAKK👍🏻 kalo di bandingin sama produk garnier yang buat acne,masih bagusan ini wkwkwk,soalnya yg acne itu meski bikin muka aku bersih tp tetep aja bakal muncul bruntusan ): jadi aku stop deh buat make nya.
aku keracun temenku buat beli ini wkwkw dan bener2 bikin muka aku halus gituu😍 dan meski ga bikin jerawat mudar setidaknya dia bisa calming jerawat hehe",0,27000.0
916285,16599,aulinaputri,18 and Under,Combination,4.0,"aku mau review aku baru 3hari si pakek ini, muka aku oily dan jerawat jga, jd pas liat yg garnieer macha aku jga mau beli krna aku abis baca klau macha bagus bisa buat sembuhin jerawat. dan ternyata muka aku lgsung berkurang minyak nya. malem cuci pkek ini pagi ny muka gda minyaknya woow nice si dgn hrga yg terjankau",0,23900.0
2236392,7571,ncallista,18 and Under,Combination,2.0,"nyobain karena di rekomendasi sama temen pas awal pakai ngerasa muka seger banget pikir nya cocok selain harga terjangkau dan gampang di cari di supermarket terdekat, aku juga suka sama tekstur gel nya",0,25000.0
999025,12799,zalfalarasati,18 and Under,Combination,1.0,"ga cocok banget di skin type aku, krna dia ada scrubnya jadi buat kulit aku iritasi yg emang ga cocok pake product ada scrubnya. dari review orang” pada bagus makanya aku cobain ini. aku baru pake 2x di hari kedua mulai muncul breakout dan kemerahan. Buat yang penasaran sm produk ini dan ngerasa cocok aku mau sell angels on bare skin aku 280k bisa contact aku di wa: 081269642517. thanku! hope it works on your skin",0,119877.0
570290,29566,adnidaa,18 and Under,Combination,4.0,"Aku mau preloved cleanser ini, bukan karena ga bagus, tapi karena kulit aku combination, ini agak bikin kulit aku kering, walaupun aku pakenya malem doang. Jerawat dan komedo di daerah T zone lumayan mengempes & memudar, walaupun hasilnya ga se-wah toner AHA BHA Cosrx. Bakal lebih cocoh buat acne prone atau oily skin sih menurutku.. soalnya buat tipe kulit aku terlalu keras. Hitmeup line: adnidaa if anyone's interested! ",0,140000.0
282160,777,elisafresa,18 and Under,Combination,5.0,"Beli ini gara gara pgn ngilangin bekas jerawatku. Pertama pake ini coba punya temen, eh ternyata fine2 aja, aku coba beli sendiri deh. Efek setelah dipake wajah kelihatan cerah. Aku blm ngerasain efek 'complete white' yg bener2 permanen, soalnya blm 1 bulan jg nyobanya?",0,27000.0
747946,29993,riskianovita,18 and Under,Combination,3.0,"make ini jaman2 ga kenal produk skincare yang bagus jd asal comot aja dari minimarket wkwkw
di gue si ga cocok,jerawat masi tetep muncul dan ga bikin cerah2 bgt di kulit. b aja gitu jatuhnya.
harganya masih oke lah tp karena ga cocok jd ngerasa rugi aja w make ini",0,27000.0
819508,777,Starlaa37,18 and Under,Combination,4.0,"Sabun cuci muka ini nggak ada efek di wajah aku, gak bikin bo dan gak mencerahkan bekas jerawat juga, jadi untuk selanjutnya aku ngga akan beli sabun cuci muka ini lagi sih. Tapi dia enak dibawa karena ukuran nya yang mini. Thx Z",0,27000.0
948192,29438,sunny_marshmallow,18 and Under,Combination,3.0,"termasuk normal face wash yg ga begitu wow untuk kulit normal meskipun sedikiiit bikin kering, tapi untuk hasilnya lumayan ngebersihin ,  buat yang ga suka face wash yg ada wanginya ini recomended bgt ,harganya murah tp pas aja",0,15000.0
1136902,42201,thaniaandary,18 and Under,Combination,3.0,"awalnya cocok2 aja pake ini efek mencerahkan nya dapet bgt, bikin glowing, ngeratain warna kulit . berenti gara-gara tumbuh bruntusan sm blackhead di dkt rahang sama dagu :( ampe skrg blm ilang walaupun udh berkurang. ga bakal repurchase lgi kapok 😣",0,12500.0
209557,8287,larayu,18 and Under,Combination,2.0,"pake ini muka gak kusam banget, minyak berkurang, aku kira udah cocok sama ini, tapi lama kelamaan bruntusan ku malah nambah, trus scrubnya kalo kena jerawat periiih, jadi  bingung, kalo dipake enak wajah gak kusam tapi bruntusan nambah :((",0,18000.0
974415,15317,amaraaadw,18 and Under,Combination,4.0,"Awet banget, mana murah gitu. Busa nya banyak jadi kalo cuci muka jadi pw banget pijit pijit, terus lembutttt gitu busa nya. Di aku ngaruh buat jerawat walaupun harus sabar make nya, abis pake ini wajah jadi lembut, alus ga berasa ketarik. Fine-fine aja alhamdulillah wkwk. Bakal jadi fav cleanser si ini mah 👍😍",0,39900.0
880066,16599,agathayesia02,18 and Under,Combination,4.0,"facial wash aku saat ini,bagus banget buat ngurangin minyak yang berlebih,sedikit mencerahkan kulit kusamku hehe,menurutku itu aja sih kelebihannya,buat harga juga affordable bangett,tapi untuk jerawat/bruntusan tidak membantu sama sekali :)",0,23900.0
858455,43467,Cintanyaa,18 and Under,Combination,3.0,"Beli ini karena teracuni iklan, yaa keliatan unik aja face wash bentuknya clay. 

(+)Mencerahkan wajah, nahan minyak di muka walaupun hanya sesaat hehe,aromanya ga nyengat dan pas dipake dingin2 gitu seger dan ga cekit2, harga juga OK dan yang pasti ga susah nyarinya. 

(-)Bentuknya kaya pasta, masih jauh dari kata clay, cukup makan waktu juga pemakaiannya karena ga seinstant face wash pada umumnya",0,33000.0
528871,13915,prettythingss,18 and Under,Combination,2.0,"Beli ini karena awal mau coba ganti face wash setelah stop pake face wash dri dokter, terus disaranin mba2 nya face wash yg bagus untuk kulit jerawat ini. Pas pake biasa aja sih efek nya, tapi beberapa hari aku pake ini wajahnya malah jadi merah gitu jd aku stop pemakaianya. Untung gak bikin beruntusan, dan mau gak mau aku buang aja deh walaupun sayang karena masih banyak banget.",0,30000.0
844485,40451,dianaraihanum,18 and Under,Combination,4.0,Iseng nyoba punya kembaran. Ternyata ini bagus. Lembut kalo dipake. Enggak bikin kulit kering. Kulit langsung keliatan cerah abis pake. Tapi enggak tahan lama. Mungkin dipake rutin bisa buat cerahan?. Dan kulit langsung ngerasa alus lembut gitu sukaa.,0,25000.0
1075059,925,ketty7,18 and Under,Combination,2.0,"Sedih banget ga cocook, semakin dipake bikin muka semakin beruntusan dan komedo di idung makin banyak, baunya minyak kayu putih yang which is emang khasnya tea tree. Dan dia bikin mukaku kering gituu.",0,109000.0
578014,14361,IhdaElsalsabilla,18 and Under,Combination,3.0,aku belinya karna liat packagingnya lucu gt kan? terus pas nyoba pake ternyata ngga cocok bikin muka aku jerawatan dan bruntusan parah akhirnya aku stop dong terus benerbener off ngga pernah make ini lagi?,0,17500.0
740520,11125,ardhiara,18 and Under,Combination,3.0,"awalnya pake ini jerawat langsung mengempes dan juga wajah jadi bersih. tapi setelah gua beberapa kali repurchase kok jadi gak mempan lagi ya di kulit wajah gua, jerawat juga susah ilang gak kaya waktu pertama kali pake, terus juga lama lama bikin kusem di wajah. ",0,22000.0
269173,18042,febyolanda,18 and Under,Combination,2.0,"Sering banget ketemu review kalau brand ini bagus dan cocok buat remaja. Kemakan segala iklan, aku nyobain. Kesan pertama adalah
lengket banget. Mungkin karena udah kebiasa pake facial foam yang sekali bilas busanya langsung ilang, pas pake ini sebel banget
kudu nyucinya berkali-kali. Kemasannya suka, lucu. Bagusnya dia nggak bikin muka ketarik. Tapi kayaknya kurang mempan di muka aku
deh, komedo malah makin banyak wkwk. Nggak repurchase, mau cari facial foam lain.",0,21000.0
1113837,10868,Litaargani,18 and Under,Combination,4.0,"Pertama beli pas jxb, so far si selama pemakaian ada 2 atau 3 bln gt,kulitku aman aman aja .Dipakenya jg enak ga bikin kasar atau keset di kulit aku .Bakal restock si ini                              ",0,17000.0
938917,40234,Salmadita,18 and Under,Combination,4.0,"waktu itu beli karna lagi diskon di wa*ts*ons, udah 4 bulan lebih ga abis abis (dipakai setiap hari). busanya banyak dan di aku juga ga terlalu bikin muka ketarik. tp ga terlalu yang mencerahkan dan ga bikin bruntusan ku ilang juga😭 malah kayaknya tambah banyakan deh ak bingung ini love-hate relationship bgt sm senka😭",0,120000.0
775004,20899,fredericaedward,18 and Under,Combination,5.0,"Suka banget sama facial foam ini, dia banget cegah jerawat muncul,  karna aku punya sensitive skin dia juga gak bikin reaksi apapun di wajahku. So far aku udah otw tube ke3. Awalnya cuma aku yang pakai, aku coba saranin ke adikku yang punya cukup banyak jerawat, ternyata ngaruh untuk ngurangin kemerahan & cegah jerawat untuk tumbuh/muncul, skarang jerawat dia jadi membaik & berkurang dgn bantuan obat jerawat jg. Worth it banget❤️❤️❤️",0,120000.0
898111,43466,Clairinechairil,18 and Under,Combination,5.0,"SESUKA ITUUUU. sumpah yaa ini pembersih terfavorit akuuu. seru banget sumpah setiap cuci muka pake ini, serasa lagi pake masker! dan aku tuh boroooss banget kalo pake ini, setiap pake mungkin takaran aku pake ini sama kaya pake sunscreen, yaitu 2 jari! 😁😁 soalnya biar muka ketutup clay semua dan pas dikasih air, busanya jadi super creamy, abis itu BOOM!! GLOWINGGGG",0,33000.0
